=== INTRODUCTION - STATUT DE L'ECONOMIE ===

QCM || Lesquels des éléments suivants suggèrent que l'économie peut être considérée comme une science ? || V:On parle de sciences économiques, prix Nobel depuis 1969, modélisation mathématique|Seulement le prix Nobel|Uniquement la modélisation|Seulement le nom "sciences économiques"
QCM || Supposons que vous receviez 7 cadeaux alors que votre frère en reçoit 5. La redistribution optimale au sens de Pareto est atteinte si : || votre mère décide de vous en prendre 1 pour le donner à votre frère|V:votre mère décide finalement d’acheter 1 cadeau supplémentaire à votre frère, qui passe à 6 cadeaux|votre mère décide d’acheter exactement 2 cadeaux supplémentaires à votre frère|aucune des propositions précédentes n’est correcte || Optimum de Pareto = personne n’est perdant, un est gagnant → cadeau supplémentaire.

QCM || Pour les économistes classiques, l’équilibre du marché du travail : || V:implique le plein emploi des travailleurs disponibles|peut s’accompagner de chômage volontaire|peut s’accompagner de chômage involontaire|est atteint lorsque le salaire conduit les entreprises à embaucher tous les travailleurs || Marché du travail classique → ajustement par le salaire → plein emploi.

QCM || Pour les économistes keynésiens, le chômage s’explique par : || des rigidités institutionnelles empêchant la régulation du marché du travail|V:un coût du travail trop élevé par rapport à son niveau d’équilibre|le chômage ne peut être que volontaire|le chômage ne peut être qu’involontaire || Keynes : chômage involontaire dû à insuffisance de la demande et rigidités.

QCM || Friedman remet en cause l’efficacité de la politique budgétaire dans la lutte contre le chômage car : || V:l’augmentation temporaire de la demande publique ne modifie pas le revenu permanent des individus|les dépenses publiques étant financées par l’impôt, l’effet budgétaire est nul|l’augmentation de la masse monétaire engendre une hausse des prix anticipée|les agents ajustent leur comportement dès l’annonce d’une hausse de la dépense publique || Friedman → revenu permanent : la dépense publique n’a pas d’effet durable.

QCM || Sous l’hypothèse d’anticipations rationnelles : || V:les prévisions des agents économiques se révèlent correctes en moyenne|seuls les chocs aléatoires peuvent avoir des effets réels|les deux propositions précédentes sont correctes|aucune des propositions n’est correcte || Anticipations rationnelles : agents utilisent toute l’info disponible → prévisions correctes en moyenne.

QCM || Les nouveaux keynésiens : || remettent en cause l’hypothèse d’anticipation rationnelle|remettent en cause l’hypothèse d’ajustement instantané des prix de marché|V:remettent en cause les deux hypothèses précédentes|remettent en cause l’efficacité de la politique économique || Nouveaux keynésiens : rigidités + info imparfaite → contestent rationalité parfaite et ajustement instantané.

QCM || Sous l’hypothèse de marchés concurrentiels et d’anticipations rationnelles, les déséquilibres durables entre offre et demande s’expliquent par : || l’existence d’asymétries de l’information|l’existence de coûts de menu|V:les deux raisons précédentes|des rigidités institutionnelles || Nouveaux keynésiens : asymétries d’information + coûts d’ajustement → déséquilibres durables.

QCM || L’absence d’ajustement du taux d’intérêt à son niveau d’équilibre sur le marché du crédit s’explique par Stiglitz : || des anticipations rationnelles|une intervention publique bloquant la hausse du taux d’intérêt|la loi de l’offre et de la demande|V:l’incapacité des prêteurs à distinguer les bons des mauvais emprunteurs || Stiglitz : sélection adverse → impossibilité d’ajuster les taux.

QCM || En 1970, Akerlof propose une analyse du marché des voitures d’occasion qui aboutit à : || V:définir le problème de sélection adverse|définir le problème d’aléa moral|montrer l’existence de coûts de menu|montrer que les trois propositions sont vraies || Akerlof → “Market for Lemons” → sélection adverse.

QCM || Stiglitz et Shapiro montrent que lorsque l’employeur n’est pas capable d’apprécier l’effort des salariés, il peut être rationnel de : || V:verser des salaires supérieurs au cas d’excès d’offre de travail|maintenir des salaires supérieurs au niveau d’équilibre|considérer le chômage comme volontaire|aucune des propositions n’est vraie || Salaire d’efficience → motiver et discipliner les salariés.

QCM || Pour Stiglitz et Shapiro, l’existence d’un chômage supérieur à son niveau d’équilibre : || a un effet positif sur les chômeurs|V:a un effet positif sur les travailleurs, incités à fournir un maximum d’effort|a un effet négatif sur les travailleurs, démotivés|a un effet négatif sur les chômeurs, qui renoncent à chercher un emploi || Salaire d’efficience → chômage disciplinaire : pression positive sur travailleurs en poste.
